x,Curve1,Curve2,Curve3,Curve4
-0.1003,-0.72499,-1.08331,-0.15914,-1.2013
0.0223,-0.18409,-1.09836,-0.0266,-1.10763
0.0316,-0.12199,-1.1014,-0.01407,-1.10051
0.1009,0.2354,-1.12019,0.10297,-1.04784
0.1125,0.27401,-1.12177,0.12858,-1.03899
0.1792,0.415,-1.1152,0.29067,-0.98826
0.2756,0.49205,-1.04521,0.47311,-0.91475
0.3408,0.51785,-0.95814,0.55854,-0.86475
0.4628,0.58351,-0.77628,0.67576,-0.77007
0.5975,0.85129,-0.63956,0.77625,-0.66279
0.6632,0.91427,-0.6189,0.81895,-0.60888
0.8669,0.97587,-0.6303,0.93301,-0.42835
0.8806,0.97695,-0.62703,0.93979,-0.41489
0.9233,0.9787,-0.60209,0.95977,-0.37114
1.082,0.96629,-0.17773,1.00157,-0.15441
1.1213,0.95882,-0.14399,1.00037,-0.0342
1.1598,0.94972,-0.16028,0.9947,0.18421
1.204,0.93696,-0.15276,0.9835,0.23815
1.2338,0.92681,-0.12476,0.9736,0.26808
1.3152,0.8919,-0.00498,0.93929,0.34078
1.4048,0.84116,0.14679,0.89327,0.41458
1.4829,0.78686,0.23882,0.84841,0.47753
1.566,0.72083,0.32154,0.79693,0.54489
1.6852,0.62108,0.46242,0.71698,0.64291
1.8871,0.48157,0.71351,0.56416,0.81455
1.9283,0.45621,0.76463,0.52946,0.85087
2.0131,0.40397,0.86788,0.45263,0.91807
2.0546,0.37775,0.9183,0.41111,0.94305
2.1698,0.30178,1.07043,0.27857,0.98171
2.2521,0.24414,1.19206,0.16978,0.98931
2.3716,0.15333,1.2639,0.02742,0.98327
2.3843,0.14295,1.26679,0.01585,0.98175
2.5065,0.02834,1.27462,-0.0685,0.96007
2.672,-0.23662,1.24056,-0.51738,0.91205
2.6751,-0.2406,1.2392,-0.52078,0.91092
2.7135,-0.28365,1.21829,-0.55151,0.8967
2.7392,-0.30879,1.19529,-0.56679,0.88653
2.7419,-0.31135,1.19184,-0.56828,0.88542
2.9472,-0.47998,0.78346,-0.65058,0.78361
2.9882,-0.51193,0.77057,-0.66451,0.7585
3.1113,-0.61211,0.67739,-0.70727,0.67258
3.1657,-0.66426,0.59666,-0.72798,0.62979
3.2483,-0.86274,0.47226,-0.76409,0.55959
3.2493,-0.86394,0.47084,-0.76459,0.55868
3.318,-0.91867,0.39036,-0.80219,0.49538
3.5226,-1.00745,0.3155,-0.96273,0.28097
3.6468,-1.03667,0.21269,-1.06744,0.1283
3.6587,-1.03862,0.20044,-1.0758,0.1124
3.6591,-1.03868,0.20004,-1.07606,0.11189
3.7697,-1.05036,0.06591,-1.13496,-0.05372
3.8531,-1.05262,-0.11504,-1.15661,-0.18709
3.8951,-1.05192,-0.18347,-1.15971,-0.23984
4.0595,-1.03815,-0.37087,-1.11498,-0.39308
4.0985,-1.03222,-0.19614,-1.08918,-0.4264
4.1075,-1.03069,-0.20077,-1.08226,-0.43413
4.1883,-1.0136,-0.26852,-1.005,-0.5047
4.2654,-0.98894,-0.34897,-0.91085,-0.57678
4.5105,-0.87109,-0.63292,-0.56765,-0.82146
4.5129,-0.87005,-0.63577,-0.56461,-0.82349
4.5501,-0.85435,-0.67955,-0.52059,-0.85301
4.6756,-0.80328,-0.83259,-0.41588,-0.9258
4.6766,-0.80289,-0.83415,-0.41531,-0.92619
4.874,-0.71679,-0.95776,-0.30215,-0.96961
4.9216,-0.69329,-0.96985,-0.2476,-0.97156
5.0742,-0.60186,-0.99791,0.04733,-0.96192
5.1212,-0.56421,-1.00403,0.13788,-0.95467
5.2347,-0.4097,-1.01425,0.29696,-0.92954
5.2472,-0.37832,-1.01496,0.31214,-0.92613
5.2801,-0.15858,-1.01644,0.35172,-0.9165
5.3193,0.00367,-1.01738,0.39811,-0.90384
5.4764,0.04287,-1.01049,0.58403,-0.83794
5.5223,0.07858,-1.00438,0.63912,-0.81319
5.6931,0.33779,-0.95248,0.79277,-0.68272
5.6958,0.34325,-0.95105,0.7946,-0.67976
5.7592,0.48199,-0.90792,0.83367,-0.59646
5.7627,0.49046,-0.90489,0.83568,-0.59105
5.8961,0.75376,-0.86955,0.90346,-0.40547
5.8988,0.75593,-0.8699,0.90469,-0.40275
5.9228,0.77129,-0.86345,0.91518,-0.38051
5.9345,0.7768,-0.85661,0.92008,-0.37068
6.2212,0.84066,-0.50793,1.00422,-0.19274
6.2481,0.85244,-0.46656,1.00819,-0.17687
6.3009,0.88601,-0.3332,1.01372,-0.14385
6.3799,0.95495,-0.17244,1.01593,-0.08358
6.4095,0.98032,-0.13525,1.01471,-0.05153
6.4587,1.00981,-0.09406,1.01,0.07236
6.491,1.01472,-0.07994,1.00514,0.30924
6.5021,1.01319,-0.07733,1.00315,0.32642
6.5787,0.96992,-0.08127,0.98518,0.40942
6.8197,0.7589,-0.04949,0.8818,0.58803
6.8681,0.72342,0.01007,0.85236,0.61943
7.0238,0.62071,0.37512,0.73396,0.71513
7.024,0.62059,0.37565,0.73379,0.71524
7.2669,0.46448,0.87751,0.43941,0.85212
7.3122,0.42822,0.91386,0.38502,0.87632
7.3127,0.42781,0.91413,0.38454,0.87656
7.3961,0.19734,0.94428,0.30418,0.92006
7.5104,0.04916,0.94089,0.20566,0.97738
7.6008,-0.04319,0.92215,0.10999,1.01698
7.6851,-0.11849,0.90424,-0.16457,1.03488
7.8373,-0.22682,0.90253,-0.39096,1.0189
