x,Curve1,Curve2,Curve3,Curve4
33.8325,-0.4722,-0.8613,,
33.8713,-0.4181,-0.8829,,
34.0894,-0.2704,-0.9681,,
34.1862,-0.231,-1.0399,,
34.4088,-0.1582,-1.2738,,
34.659,-0.1103,-1.1203,,
34.8805,-0.2581,-0.9215,,
35.0183,-0.3897,-0.7628,,
35.1454,-0.3504,-0.5101,,
35.1472,-0.3495,-0.5105,,
35.5028,-0.1242,-0.849,,
35.8169,0.0785,-1.3908,,
35.931,0.1359,-1.2111,,
36.0325,0.1662,-1.0276,,
36.2984,0.1637,-1.2122,,
36.4139,0.1975,-1.0571,,
36.6435,0.3353,-0.652,,
36.8268,0.4626,-1.2861,,
37.2867,0.7454,-1.39,,
37.5752,0.8505,-1.3846,,
37.5767,0.8509,-1.3849,,
37.8336,0.8989,-0.9167,,
38.1638,0.9239,-0.2059,,
38.2196,0.927,-0.0918,,
38.7797,0.887,0.886,,
38.9536,0.7984,1.0532,,
39.3112,0.5484,0.7983,,
39.4418,0.4677,0.6592,,
39.8419,0.2775,0.7373,,
40.0542,0.1895,0.9177,,
40.3282,0.0436,1.1691,,
40.5511,-0.2273,1.2192,,
40.6666,-0.3245,1.1824,,
40.8614,-0.4489,1.0573,,
41.1273,-0.6274,0.8173,,
41.5558,-0.8647,0.3268,,
41.869,-0.9061,-0.1411,,
41.8778,-0.9044,-0.1512,,
42.3581,-0.4895,-0.6213,,
42.4427,-0.3381,-0.7185,,
42.7018,0.0682,-0.9387,,
42.7577,0.1093,-0.9598,,
43.4626,0.5504,-1.0953,,
43.4873,0.5668,-1.1051,,
43.5975,0.6431,-1.3477,,
43.7745,0.7707,-1.4523,,
44.142,0.9731,-1.0715,,
44.2518,0.9825,-0.9106,,
44.4651,0.9186,-0.3504,,
44.6351,0.8142,0.1544,,
44.6716,0.7885,0.2111,,
45.0661,0.4895,0.887,,
45.2926,0.3144,1.5376,,
45.3663,0.2584,1.5395,,
45.9139,-0.1842,1.0942,,
46.0482,-0.3935,0.9527,,
46.2994,-0.5051,0.6838,,
46.446,-0.5843,0.5324,,
47.0121,-0.8641,-0.1165,,
47.0647,-0.8613,-0.1905,,
47.6741,-0.3381,-1.0361,,
47.949,0.2137,-1.2984,,
48.018,0.3268,-1.3319,,
48.4522,0.7946,-0.9026,,
48.4713,0.8233,-0.8429,,
48.6362,1.0944,0.0928,,
48.7607,1.2115,0.7331,,
48.8871,1.2009,0.8489,,
49.2401,0.7848,1.0839,,
49.5569,0.3083,1.3798,,
49.8077,0.0503,1.4225,,
50.0011,-0.0857,1.3074,,
50.4017,-0.5166,0.8437,,
50.4753,-0.5743,0.7207,,
50.5675,-0.6333,0.3514,,
50.7565,-0.7813,0.1073,,
50.9243,-0.9584,-0.0918,,
51.2407,-0.8306,-0.5885,,
51.2825,-0.7897,-0.652,,
51.9056,0.0034,-1.3046,,
52.3228,0.6222,-0.8817,,
52.3397,0.6484,-0.8306,,
52.6257,1.0347,0.1291,,
52.636,1.0386,0.1482,,
52.9402,1.0703,0.456,,
52.9773,1.047,0.8498,,
53.0631,0.8726,1.2255,,
53.1144,0.5915,1.2942,,
53.2936,0.3083,1.412,,
53.6047,0.0128,1.5302,,
53.6746,-0.2546,1.5641,,
53.6967,-0.3319,1.5766,,
53.9634,-0.5843,1.7623,,
54.1562,-0.6691,1.7365,,
54.4489,-0.7505,0.9424,,
54.52,-0.7654,0.6961,,
54.8832,-0.814,-0.295,,
55.0649,-0.7998,-0.7804,,
55.2371,-0.4858,-1.1618,,
55.4229,-0.1669,-1.3415,,
55.5389,0.019,-1.192,,
55.7986,0.3699,-0.6086,,
55.81,0.3768,-0.6089,,
56.2152,0.5567,-1.4277,,
56.411,0.6346,-0.4138,,
56.4226,0.6398,-0.3627,,
56.5849,0.8008,-0.0655,,
56.726,0.9169,0.0128,,
56.8978,1.0137,0.3575,,
57.0656,1.047,0.4718,,
57.3329,0.7803,0.7454,,
57.3774,0.6961,1.0152,,
57.4122,0.6373,1.4841,,
57.6448,0.3822,1.5204,,
57.7631,0.2725,1.5518,,
57.9784,0.0669,1.9458,,
58.0895,-0.0488,1.8655,,
58.3565,-0.3319,1.5271,,
58.6027,-0.4738,1.1824,,
58.8874,-0.6213,0.7975,,
59.1849,-0.7932,0.259,,
59.3251,-0.8827,-0.455,,
59.3301,-0.886,-0.4597,,
59.6383,-0.9291,-0.5055,,
59.7659,-0.7558,-0.5597,,
59.8179,-0.6694,-1.2492,,
60.0271,-0.3381,-1.5158,,
60.3961,0.0998,-1.8217,,
60.5478,0.2467,-2.0465,,
60.5736,0.2688,-1.9694,,
60.81,0.3822,-1.1462,,
60.8275,0.3909,-1.1199,,
61.0901,0.5364,-1.0214,,
61.1231,0.5556,-0.0734,,
61.5087,0.7885,0.0139,,
61.5176,0.794,0.019,,
61.6882,0.8964,0.4745,,
61.8589,0.9177,0.4867,,
61.9509,0.8619,0.5668,,
62.0304,0.7905,1.2871,,
62.1701,0.6161,1.2461,,
62.4289,0.2348,1.047,,
62.4384,0.2283,1.0474,,
62.5981,0.1767,1.6134,,
62.7915,0.1051,1.9553,,
62.9888,-0.2756,2.0443,,
63.0163,-0.3258,2.0016,,
63.1279,-0.4606,1.4164,,
63.283,-0.5782,1.3222,,
