x,Curve1,Curve2,Curve3,Curve4
35.403,0.6768,-0.1092,-0.9058,-0.3357
35.4538,0.7092,-0.0755,-0.8413,-0.4316
35.5998,0.8106,0.0582,-0.614,-0.6891
35.6033,0.8127,0.0628,-0.6077,-0.6948
35.6226,0.824,0.0907,-0.5724,-0.725
35.6552,0.841,0.1519,-0.5085,-0.7738
35.7342,0.8684,0.329,-0.3122,-0.8771
35.7802,0.8738,0.3984,-0.1691,-0.9254
35.8852,0.8505,0.5248,0.0895,-0.9921
35.9027,0.8412,0.5458,0.124,-0.9961
35.9196,0.8306,0.5668,0.1559,-0.9978
35.9433,0.813,0.5964,0.1983,-0.9968
36.1014,0.6236,0.7415,0.4809,-0.903
36.1137,0.605,0.7481,0.5108,-0.8904
36.1393,0.5651,0.7601,0.5853,-0.862
36.2128,0.4436,0.7858,0.7554,-0.7647
36.2724,0.3439,0.8002,0.8392,-0.6619
36.3213,0.2699,0.8089,0.8951,-0.5586
36.4531,0.1054,0.8205,0.9997,-0.2124
36.4582,0.0985,0.8207,1.0022,-0.1971
36.488,0.0572,0.8206,1.0138,-0.1036
36.4942,0.0482,0.8204,1.0155,-0.0828
36.5988,-0.1106,0.8001,1.0003,0.2503
36.6519,-0.1966,0.7557,0.9607,0.3614
36.7075,-0.2905,0.6246,0.9001,0.462
36.7447,-0.3561,0.5422,0.8555,0.5246
36.767,-0.3966,0.5031,0.8265,0.5608
36.7806,-0.4218,0.4816,0.8074,0.5825
36.8506,-0.5555,0.3856,0.6981,0.6926
36.9206,-0.6876,0.2996,0.5802,0.8137
36.96,-0.7531,0.2526,0.5107,0.8885
37.0386,-0.8362,0.1567,0.3632,0.9986
37.109,-0.8521,0.0551,0.2073,1.0366
37.1173,-0.8515,0.0411,0.1847,1.0376
37.1448,-0.8468,-0.0094,0.09,1.0366
37.1675,-0.8407,-0.0526,-0.0247,1.0316
37.1963,-0.8304,-0.1017,-0.1175,1.0209
37.2964,-0.7728,-0.2474,-0.2773,0.9572
37.4125,-0.6445,-0.4046,-0.4437,0.8479
37.4254,-0.6223,-0.4211,-0.4639,0.834
37.4304,-0.6131,-0.4274,-0.472,0.8285
37.5108,-0.4083,-0.5217,-0.6119,0.73
37.5517,-0.2978,-0.5613,-0.6885,0.6682
37.6549,-0.2637,-0.6389,-0.8753,0.4514
37.6598,-0.2604,-0.6424,-0.883,0.4387
37.6817,-0.243,-0.6587,-0.9148,0.3792
37.721,-0.2038,-0.691,-0.9603,0.2667
37.7975,-0.1091,-0.7568,-1.0052,0.0486
37.8669,-0.0149,-0.8102,-1.0062,-0.1271
37.9195,0.0579,-0.8434,-0.9792,-0.2398
37.9529,0.104,-0.8615,-0.9545,-0.302
38.0801,0.2733,-0.9111,-0.8348,-0.4973
38.2264,0.4392,-0.8777,-0.649,-0.6824
38.234,0.4463,-0.8703,-0.6366,-0.6917
38.2497,0.4604,-0.8532,-0.6093,-0.7109
38.2772,0.4831,-0.8183,-0.5536,-0.7449
38.3731,0.5424,-0.6679,-0.2755,-0.8648
38.4458,0.5704,-0.5426,-0.1014,-0.9397
38.5545,0.6006,-0.3781,0.1073,-0.9835
38.5622,0.6029,-0.3689,0.1208,-0.983
38.6282,0.6256,-0.3042,0.2337,-0.962
38.664,0.6416,-0.2779,0.2941,-0.9401
38.7364,0.6829,-0.2333,0.4251,-0.8773
38.8056,0.7295,-0.1931,0.649,-0.7943
38.8679,0.7742,-0.1524,0.8238,-0.6976
38.8857,0.7871,-0.1388,0.8532,-0.6651
38.9594,0.8397,-0.0644,0.9307,-0.4973
39.0223,0.881,0.0498,0.9647,-0.2994
39.066,0.9056,0.2053,0.9799,-0.1234
39.1056,0.9233,0.2882,0.9894,0.0479
39.1294,0.9308,0.3137,0.9936,0.1282
39.1628,0.9359,0.3379,0.9974,0.2088
39.2706,0.8947,0.3782,0.9886,0.39
39.3315,0.8268,0.3894,0.8332,0.4836
39.3427,0.8116,0.391,0.8082,0.5015
39.3449,0.8086,0.3913,0.804,0.5049
39.4143,0.7072,0.3979,0.6988,0.625
39.4849,0.6084,0.399,0.6114,0.7289
