x,Curve1,Curve2,Curve3,Curve4
11.145,-0.1063,1.0204,-0.289,0.9598
11.188,-0.2113,1.0156,-0.3143,0.9499
11.217,-0.2937,1.0122,-0.3324,0.9427
11.431,-0.657,0.9786,-0.486,0.8767
11.471,-0.6975,0.9694,-0.5456,0.8596
11.702,-0.7941,0.884,-0.8754,0.7192
11.728,-0.8,0.8688,-0.8834,0.6983
11.832,-0.8254,0.7833,-0.9081,0.6047
11.9,-0.8449,0.687,-0.9199,0.5362
12.126,-0.9222,0.1423,-0.9437,0.2724
12.128,-0.9227,0.1405,-0.9438,0.2705
12.17,-0.9382,0.0972,-0.9464,0.1551
12.34,-1.0025,0.0182,-0.9528,-0.0436
12.416,-1.0315,-0.0011,-0.9538,-0.1152
12.512,-1.0671,-0.0435,-0.9538,-0.2022
12.63,-1.1076,-0.3929,-0.9515,-0.3095
12.637,-1.11,-0.4025,-0.9513,-0.3165
12.681,-1.122,-0.4468,-0.9497,-0.3576
12.889,-0.9986,-0.5786,-0.9347,-0.5871
12.936,-0.9405,-0.6015,-0.9288,-0.6525
13.106,-0.7455,-0.6778,-0.6444,-0.882
13.109,-0.7426,-0.679,-0.6396,-0.8845
13.192,-0.6499,-0.7154,-0.5623,-0.9473
13.194,-0.6471,-0.7165,-0.5606,-0.9487
13.326,-0.4986,-0.7788,-0.4808,-1.0001
13.499,-0.2931,-0.8524,-0.3575,-1.0208
13.546,-0.2374,-0.866,-0.0498,-1.0197
13.623,-0.1463,-0.8832,0.0638,-1.0121
13.665,-0.0991,-0.8901,0.1052,-1.005
13.675,-0.0883,-0.8916,0.1143,-1.0029
13.894,0.1652,-0.9055,0.2964,-0.9289
13.937,0.2387,-0.9039,0.3316,-0.9086
14.071,0.6874,-0.8865,0.4519,-0.8331
14.141,0.8291,-0.8669,0.5252,-0.787
14.227,0.8537,-0.8254,0.6443,-0.7242
14.243,0.8564,-0.8139,0.681,-0.7113
14.331,0.8669,-0.7164,0.9214,-0.631
14.375,0.8706,-0.6397,0.9374,-0.5812
14.446,0.8754,-0.4931,0.9517,-0.4664
14.533,0.8799,-0.351,0.9609,-0.1773
14.579,0.8818,-0.2983,0.9636,-0.0946
14.925,0.8878,0.4454,0.9536,0.1608
14.926,0.8878,0.4468,0.9535,0.1619
14.93,0.8877,0.4503,0.9531,0.1647
15.15,0.8829,0.6077,0.9183,0.4729
15.189,0.8809,0.6285,0.9082,0.5337
15.279,0.8734,0.673,0.8774,0.6458
15.449,0.6747,0.7478,0.7684,0.7739
15.493,0.6211,0.7657,0.7236,0.7965
15.577,0.5411,0.7982,0.6235,0.8326
15.796,0.3647,0.8735,0.3553,0.9025
15.96,0.2358,0.9198,0.162,0.9422
15.968,0.229,0.9218,0.1524,0.944
16.004,0.2004,0.9297,0.1129,0.9513
16.3,-0.1116,0.9452,-0.2354,0.9627
16.344,-0.197,0.9367,-0.3154,0.9534
16.399,-0.3935,0.9212,-0.4423,0.9377
16.427,-0.4569,0.9114,-0.4854,0.9283
16.442,-0.4796,0.9056,-0.505,0.9229
16.47,-0.5111,0.894,-0.5377,0.9122
16.768,-0.675,0.7164,-0.7931,0.759
16.898,-0.7418,0.6214,-0.8739,0.6728
16.955,-0.7773,0.5787,-0.9024,0.6304
16.956,-0.7776,0.5783,-0.9027,0.63
17.283,-0.9796,0.3225,-0.9918,0.34
17.297,-0.9855,0.3095,-0.9935,0.327
17.369,-1.011,0.2408,-1.0007,0.2632
17.383,-1.015,0.2275,-1.0018,0.2519
17.724,-1.0652,-0.1172,-1.0083,0.0083
17.766,-1.0672,-0.1584,-1.0068,-0.0275
17.971,-1.0686,-0.3518,-0.9912,-0.2388
18.015,-1.0668,-0.3897,-0.9853,-0.2905
18.108,-1.0185,-0.4652,-0.9644,-0.4083
18.144,-0.9852,-0.494,-0.9486,-0.4597
18.15,-0.9809,-0.4981,-0.9457,-0.4672
18.276,-0.886,-0.5906,-0.8186,-0.6522
18.405,-0.7889,-0.6732,-0.6896,-0.8121
18.579,-0.6391,-0.7606,-0.5134,-0.9455
18.663,-0.543,-0.7929,-0.4137,-0.9804
18.668,-0.5376,-0.7943,-0.4083,-0.9817
18.842,-0.248,-0.8422,-0.1016,-1.0046
18.887,-0.172,-0.8516,-0.03,-1.0018
18.92,-0.1194,-0.8577,0.0094,-0.998
19.105,0.2008,-0.8825,0.1644,-0.9524
19.191,0.3794,-0.8882,0.2264,-0.9212
19.265,0.5228,-0.889,0.2833,-0.8908
19.453,0.7688,-0.8138,0.4957,-0.801
19.456,0.7713,-0.8106,0.5014,-0.7994
19.526,0.8217,-0.7287,0.6706,-0.7616
19.628,0.8718,-0.6089,0.8034,-0.702
19.699,0.8955,-0.5284,0.8419,-0.6582
19.918,0.9357,-0.2863,0.8963,-0.4939
20.017,0.9444,-0.1817,0.9066,-0.3766
20.047,0.9466,-0.1395,0.9085,-0.3184
20.093,0.9494,-0.0491,0.9108,-0.0014
20.093,0.9494,-0.0479,0.9109,0.0022
20.146,0.9514,0.0647,0.9124,0.1682
20.269,0.948,0.2709,0.9117,0.3355
20.534,0.8868,0.5382,0.8817,0.5393
20.573,0.8717,0.5663,0.8725,0.5654
