x,Curve1,Curve2,Curve3,Curve4
21.3788,-0.8572,0.3535,0.4527,-0.7919
21.4907,-0.9387,0.2774,0.6605,-0.7211
21.5287,-0.9524,0.2528,0.7177,-0.6944
21.5589,-0.9596,0.2335,0.7487,-0.6716
21.6597,-0.9682,0.1694,0.8181,-0.5792
21.7817,-0.9629,0.09,0.8786,-0.4006
21.8922,-0.9506,0.0079,0.924,-0.2614
21.9787,-0.9382,-0.1928,0.9541,-0.1731
22.0272,-0.9306,-0.2538,0.9684,-0.1294
22.0631,-0.925,-0.2884,0.9777,-0.0997
22.0689,-0.9241,-0.2937,0.979,-0.0951
22.264,-0.8806,-0.4439,0.9917,0.0413
22.3673,-0.8361,-0.5108,0.9683,0.124
22.3733,-0.8333,-0.5144,0.9663,0.1295
22.4366,-0.8024,-0.552,0.9427,0.196
22.5202,-0.7598,-0.6017,0.9047,0.3
22.6262,-0.7037,-0.6681,0.8484,0.4448
22.7372,-0.6426,-0.7364,0.7817,0.5782
22.8049,-0.6041,-0.7739,0.7366,0.6435
22.8231,-0.5936,-0.783,0.7236,0.6598
22.9756,-0.5028,-0.86,0.5917,0.7817
22.9938,-0.4916,-0.8858,0.5737,0.7943
23.1465,-0.394,-0.9676,0.4188,0.882
23.1617,-0.3839,-0.9703,0.4038,0.889
23.3117,-0.2796,-0.9851,0.2696,0.9441
23.3363,-0.2615,-0.9861,0.2509,0.951
23.5862,-0.0629,-0.9787,0.0733,0.9819
23.6214,-0.0328,-0.9748,0.0214,0.9767
23.7374,0.0698,-0.9547,-0.3515,0.9217
23.77,0.0994,-0.9465,-0.388,0.8992
23.8423,0.1664,-0.922,-0.4447,0.8528
24.0442,0.358,-0.7902,-0.5565,0.7508
24.1361,0.4435,-0.6964,-0.6098,0.7036
24.1368,0.444,-0.6958,-0.6101,0.7032
24.2691,0.5592,-0.565,-0.7158,0.6232
24.3338,0.6102,-0.4952,-0.7781,0.575
24.4106,0.6661,-0.4298,-0.8502,0.5086
24.4184,0.6715,-0.4307,-0.8569,0.5013
24.4499,0.6931,-0.4362,-0.8823,0.4708
24.6117,0.7947,-0.4503,-0.9721,0.2932
24.7211,0.8523,-0.43,-1.0044,0.1624
24.7584,0.8684,-0.4165,-1.0113,0.1149
24.8119,0.8862,-0.3915,-1.0181,0.0422
24.8194,0.8882,-0.3875,-1.0187,0.0315
25.0407,0.9196,-0.2316,-1.0046,-0.2446
25.0891,0.9238,-0.1908,-0.9922,-0.287
25.2722,0.9371,-0.0262,-0.9114,-0.438
25.3223,0.9398,0.0204,-0.8793,-0.4967
25.326,0.94,0.0239,-0.8768,-0.5029
25.4413,0.9437,0.1323,-0.7877,-0.761
25.6666,0.9375,0.3506,-0.5532,-0.8954
25.7785,0.9223,0.4648,-0.3454,-0.9383
25.8547,0.9019,0.5469,-0.2569,-0.9608
25.9134,0.874,0.6151,-0.197,-0.9742
26.0666,0.6641,0.8204,-0.0557,-0.9907
26.0881,0.6287,0.8367,-0.0373,-0.9904
26.112,0.6007,0.8491,-0.0175,-0.9893
26.1385,0.5793,0.8587,0.0039,-0.987
26.3418,0.5056,0.8919,0.1776,-0.9321
26.4531,0.4643,0.906,0.3086,-0.8736
26.5632,0.3075,0.9302,0.4559,-0.7955
26.5946,0.2501,0.9436,0.5,-0.7694
26.6036,0.2353,0.9486,0.5128,-0.7616
26.6537,0.1631,0.9909,0.584,-0.7156
26.7606,0.0408,1.0734,0.7095,-0.6055
26.7914,0.0087,1.0834,0.7365,-0.5735
26.9133,-0.1142,1.104,0.823,-0.4607
