x,Curve1,Curve2,Curve3,Curve4
-0.0283,-0.94228,0.77631,-0.54075,1.11904
0.1286,-0.95823,0.34425,-0.63086,1.03024
0.1375,-0.9591,0.28726,-0.63568,1.02328
0.2188,-0.96686,-0.08656,-0.68084,0.5557
0.2868,-0.9729,-0.19058,-0.72177,0.4645
0.2931,-0.97343,-0.19532,-0.72579,0.45909
0.4344,-0.98382,-0.22789,-0.85097,0.36629
0.6255,-0.99055,-0.26174,-0.99884,0.26367
0.6325,-0.99056,-0.26571,-0.99816,0.25985
0.7025,-0.98936,-0.32428,-0.98517,0.21931
0.7522,-0.98676,-0.38398,-0.97137,0.1853
0.827,-0.97908,-0.49157,-0.94656,0.06877
0.9367,-0.9549,-0.64153,-0.90479,-0.2709
0.9784,-0.93897,-0.68074,-0.88777,-0.31401
1.0498,-0.89387,-0.72714,-0.85736,-0.3748
1.1662,-0.704,-0.79721,-0.80506,-0.45837
1.2061,-0.65224,-0.91487,-0.78644,-0.48508
1.2793,-0.63261,-1.04418,-0.75141,-0.53334
1.3606,-0.62676,-1.10688,-0.71117,-0.5878
1.3989,-0.6039,-1.1278,-0.69173,-0.61448
1.4403,-0.26892,-1.14612,-0.67034,-0.64421
1.5576,-0.10993,-1.17609,-0.60703,-0.73329
1.5915,-0.0938,-1.17825,-0.58778,-0.76009
1.7015,-0.04855,-1.1569,-0.5201,-0.84849
1.7044,-0.04742,-1.15551,-0.51812,-0.85086
1.902,0.02495,-0.93155,-0.31393,-0.97404
2.0129,0.06545,-0.79177,-0.16334,-0.99602
2.0598,0.0834,-0.75776,-0.10933,-0.99661
2.0968,0.09833,-0.73862,-0.0723,-0.9941
2.1264,0.11093,-0.72673,-0.04808,-0.99042
2.3306,0.2284,-0.68205,0.11333,-0.93673
2.3604,0.25101,-0.67361,0.13972,-0.9259
2.4459,0.3204,-0.58898,0.21767,-0.89141
2.4772,0.34735,-0.53401,0.2468,-0.87756
2.5246,0.38949,-0.49314,0.29115,-0.85534
2.6708,0.53575,-0.42124,0.42731,-0.77551
2.7191,0.60427,-0.39762,0.47141,-0.7441
2.7836,0.75288,-0.35793,0.52919,-0.69506
2.7976,0.76535,-0.3474,0.54159,-0.68255
2.9425,0.84314,-0.17424,0.66489,-0.43937
2.9789,0.85761,-0.10552,0.69432,-0.39436
3.1068,0.89961,0.18583,0.7917,-0.30198
3.1389,0.90767,0.23383,0.81447,-0.28303
3.1742,0.91485,-0.09368,0.83862,-0.26278
