x,Curve1,Curve2,Curve3,Curve4
0.0216,-0.68539,0.31949,-0.98598,0.29485
0.0223,-0.68585,0.31959,-0.98615,0.2947
0.0355,-0.69485,0.32152,-0.98948,0.29188
0.068,-0.71699,0.3262,-0.99794,0.28491
0.5501,-0.9354,0.24536,-0.99683,0.12132
0.5588,-0.93608,0.23677,-0.99423,0.11406
0.5865,-0.93734,0.20521,-0.98547,0.08454
0.6395,-0.93596,0.12683,-0.96701,-0.21137
0.6967,-0.92936,0.01435,-0.94481,-0.36082
0.8591,-0.88583,-0.38557,-0.87251,-0.53733
1.1761,-0.71959,-0.72494,-0.70454,-0.76784
1.295,-0.6366,-0.76699,-0.63397,-0.8433
1.3781,-0.57502,-0.78763,-0.58207,-0.8946
1.5914,-0.41649,-0.82249,-0.43505,-0.97467
1.7399,-0.32549,-0.83732,-0.30881,-0.9732
1.7577,-0.31753,-0.83871,-0.29102,-0.97166
1.9273,-0.28646,-0.84813,-0.07629,-0.94916
2.0873,-0.18763,-0.85079,0.06853,-0.91559
2.1366,-0.11922,-0.85027,0.12784,-0.90266
2.2671,0.10536,-0.84511,0.43093,-0.86155
2.4368,0.43578,-0.82474,0.61087,-0.78876
2.473,0.50515,-0.81592,0.64067,-0.76942
2.5184,0.58321,-0.79901,0.67835,-0.74251
2.5621,0.62428,-0.767,0.71561,-0.7134
2.6068,0.609,-0.57113,0.75283,-0.67967
2.6384,0.59175,-0.52312,0.77756,-0.65314
2.8917,0.57259,-0.3418,0.9134,-0.36381
3.0061,0.62268,-0.28739,0.94888,-0.21527
3.0223,0.63329,-0.28041,0.95309,-0.19596
3.1085,0.70281,-0.24601,0.97252,-0.10722
3.4344,1.01448,-0.1134,1.0041,0.05937
3.4657,1.03711,-0.09166,1.00347,0.0698
3.604,1.10412,0.07387,0.99136,0.12784
3.6274,1.10964,0.11667,0.98763,0.14428
3.6455,1.11268,0.15258,0.98437,0.1603
3.6938,1.11536,0.25573,0.97403,0.23448
3.7429,1.10962,0.35953,0.96106,0.74021
3.8177,1.08352,0.49278,0.93645,0.77954
3.9927,0.93196,0.73031,0.85374,0.84185
4.0721,0.81854,0.85155,0.80243,0.8625
4.2299,0.53433,1.1331,0.65979,0.89295
4.3693,0.25964,1.29072,0.405,0.90823
4.4207,0.18351,1.32169,0.22421,0.91081
4.4218,0.18281,1.32219,0.22062,0.91085
4.4305,0.54227,1.32633,0.19053,0.91109
4.5627,0.17318,1.35916,-0.1068,0.90722
4.6145,-0.05229,1.35818,-0.18763,0.90096
4.6177,-0.0701,1.35785,-0.19235,0.90048
4.729,-0.47216,1.32256,-0.34188,0.87594
4.7768,-0.48307,1.28454,-0.39795,0.86077
4.9705,-0.49594,0.9134,-0.58555,0.77243
5.1304,-0.53356,0.84689,-0.70103,0.67863
5.1749,-0.56495,0.83564,-0.72789,0.6521
5.2476,-0.72017,0.8162,-0.76807,0.61031
5.3661,-1.02887,0.76613,-0.82617,0.54808
5.4138,-1.06393,0.72784,-0.84761,0.52449
5.6468,-1.11897,0.30103,-0.94127,0.41288
5.8151,-1.11702,0.28129,-1.00412,0.32463
5.8907,-1.11108,0.2862,-1.03316,0.27629
6.0164,-1.09691,0.28331,-0.92746,0.15392
6.0211,-1.0963,0.28253,-0.92371,0.1472
6.1246,-1.08158,0.23579,-0.84686,-0.1134
6.1339,-1.08012,0.2268,-0.8403,-0.148
6.3217,-1.04395,-0.36082,-0.71119,-0.56973
6.3955,-1.02519,-0.39192,-0.66145,-0.64536
6.647,-0.92676,-0.39175,-0.49089,-0.79356
6.6736,-0.91134,-0.43416,-0.47236,-0.80418
6.7689,-0.84386,-0.73636,-0.40412,-0.8369
6.9155,-0.70988,-1.01031,-0.2829,-0.87296
7.0207,-0.61133,-1.06281,-0.13814,-0.88839
7.0817,-0.56006,-1.07322,-0.05047,-0.89278
7.1326,-0.52165,-1.07574,0.01833,-0.89335
7.1903,-0.48249,-1.07401,0.10309,-0.89007
7.3191,-0.40506,-1.05961,0.34433,-0.86563
7.5708,-0.2629,-1.01907,0.60412,-0.75854
7.5745,-0.26061,-1.01851,0.60701,-0.7567
7.6901,-0.18219,-1.00412,0.68979,-0.7008
7.713,-0.16289,-1.00203,0.70515,-0.68951
7.8859,0.20206,-0.99375,0.81283,-0.59211
7.989,0.36963,-0.99364,0.8696,-0.50309
8.0269,0.41878,-0.99424,0.88866,-0.44478
8.1199,0.52725,-0.99665,0.92962,-0.18763
8.1818,0.59175,-0.99866,0.9503,-0.1184
8.3959,0.69919,-1.00035,0.96907,0.04032
8.4118,0.70111,-0.99929,0.96763,0.05361
8.4294,0.70309,-0.99761,0.9657,0.06929
8.4649,0.70684,-0.99175,0.96084,0.10383
8.6228,0.72344,-0.76673,0.92505,0.31959
8.6343,0.72478,-0.7567,0.92159,0.34366
8.8322,0.76182,-0.65401,0.84344,0.52371
8.8387,0.76495,-0.65154,0.84018,0.52848
8.8407,0.76607,-0.65078,0.83918,0.52995
8.9635,0.85773,-0.60998,0.7693,0.61688
9.1694,0.87005,-0.56495,0.61443,0.74995
9.2404,0.87186,-0.53324,0.54845,0.79143
9.2947,0.87277,-0.45361,0.4923,0.82137
9.4773,0.87347,-0.2284,0.26392,0.90859
9.6749,0.87026,0.00183,0.03505,0.97124
9.7413,0.86798,0.07798,-0.02869,0.98144
9.8197,0.86392,0.16708,-0.10365,0.98366
