x,Curve1,Curve2,Curve3,Curve4
-0.1061,-0.77894,-0.51557,-0.863,0.66846
-0.0707,-0.84251,-0.52497,-0.86502,0.63294
0.0707,-0.93465,-0.56397,-0.87296,0.51473
0.1061,-0.92957,-0.57481,-0.87487,0.4867
0.3182,-0.8736,-0.66322,-0.88527,0.25355
0.3889,-0.85018,-0.70721,-0.88809,-0.01277
0.6364,-0.7565,-0.86806,-0.89337,-0.14884
0.7779,-0.69392,-0.90366,-0.89085,-0.23297
0.9193,-0.62027,-0.9551,-0.87979,-0.46523
0.9546,-0.60005,-0.98337,-0.87454,-0.53513
1.0253,-0.55883,-1.05534,-0.85779,-0.62248
1.2021,-0.47365,-1.20092,-0.49926,-0.76915
1.2375,-0.46183,-1.2135,-0.45771,-0.79631
1.591,-0.36012,-1.26235,-0.20547,-1.00391
1.6264,-0.34465,-1.27843,-0.18352,-1.01139
1.6618,-0.32508,-1.29933,-0.16137,-1.01623
1.8032,-0.15586,-1.40572,-0.06387,-1.01517
1.8739,-0.09459,-1.45136,0.00461,-1.00514
1.9446,-0.06683,-1.48255,0.14818,-0.99008
1.98,-0.05742,-1.49256,0.22809,-0.98082
2.1567,-0.02147,-1.49991,0.38618,-0.91915
2.2628,0.013,-1.47165,0.47395,-0.8702
2.4043,0.18714,-1.36983,0.66228,-0.78977
2.4749,0.20352,-1.243,0.73516,-0.74155
2.581,0.20665,-0.94113,0.8176,-0.65278
2.6164,0.20476,-0.88326,0.84085,-0.61497
2.7578,0.1855,-0.78996,0.91714,-0.40693
2.7932,0.17693,-0.77916,0.93228,-0.36429
2.9346,0.05403,-0.74625,0.97671,-0.22578
2.97,0.01037,-0.7347,0.9835,-0.19352
3.0053,-0.02395,-0.71643,0.9884,-0.16107
3.0407,-0.05052,-0.68806,0.99129,-0.12801
3.1114,-0.074,-0.61482,0.99086,-0.05913
3.1821,-0.02338,-0.56567,0.9827,0.01619
3.2528,0.12064,-0.53721,0.96749,0.10528
3.3589,0.36136,-0.50738,0.93277,0.27267
3.3942,0.23844,-0.49885,0.91828,0.31363
3.4296,0.25259,-0.49056,0.90242,0.34601
3.571,0.37286,-0.45296,0.82631,0.44078
3.6417,0.44333,-0.33515,0.78136,0.48458
3.7124,0.54065,-0.23132,0.73226,0.53422
3.7478,0.66259,-0.21409,0.70602,0.56626
3.7831,0.70967,-0.20146,0.67852,0.61673
3.8185,0.73268,-0.19174,0.64962,0.72545
